gene_name,ensembl_gene_id,x,y,cluster_no,location_name
ARHGEF12,ENSG00000196914,0.3590,-0.1049,1,"Liver & Kidney - Metabolism"
ADH5,ENSG00000197894,0.4038,-0.1652,1,"Liver & Kidney - Metabolism"
MRPL42,ENSG00000198015,0.2704,-0.1304,1,"Liver & Kidney - Metabolism"
HIBCH,ENSG00000198130,0.3551,-0.0876,1,"Liver & Kidney - Metabolism"
MT1F,ENSG00000198417,0.3790,-0.0892,1,"Liver & Kidney - Metabolism"
APOM,ENSG00000204444,0.4261,-0.1634,1,"Liver & Kidney - Metabolism"
TRIQK,ENSG00000205133,0.3616,-0.1411,1,"Liver & Kidney - Metabolism"
MT1H,ENSG00000205358,0.3939,-0.1146,1,"Liver & Kidney - Metabolism"
CFI,ENSG00000205403,0.4391,-0.1803,1,"Liver & Kidney - Metabolism"
DIO1,ENSG00000211452,0.3907,-0.1085,1,"Liver & Kidney - Metabolism"
GCGR,ENSG00000215644,0.4174,-0.1503,1,"Liver & Kidney - Metabolism"
RSC1A1,ENSG00000215695,0.3673,-0.1396,1,"Liver & Kidney - Metabolism"
TRIM49D1,ENSG00000223417,0.4228,-0.1900,1,"Liver & Kidney - Metabolism"
ACAD11,ENSG00000240303,0.4101,-0.1432,1,"Liver & Kidney - Metabolism"
HOGA1,ENSG00000241935,0.2903,-0.1352,1,"Liver & Kidney - Metabolism"
AMACR,ENSG00000242110,0.4044,-0.1321,1,"Liver & Kidney - Metabolism"
GSTA1,ENSG00000243955,0.4233,-0.1540,1,"Liver & Kidney - Metabolism"
GSTA2,ENSG00000244067,0.4349,-0.1739,1,"Liver & Kidney - Metabolism"
PRODH2,ENSG00000250799,0.4038,-0.1326,1,"Liver & Kidney - Metabolism"
ALG11,ENSG00000253710,0.3557,-0.1205,1,"Liver & Kidney - Metabolism"
ST20-MTHFS,ENSG00000259332,0.4129,-0.1449,1,"Liver & Kidney - Metabolism"
FBXO17,ENSG00000269190,0.4200,-0.1780,1,"Liver & Kidney - Metabolism"
UGT2A2,ENSG00000271271,0.4069,-0.1377,1,"Liver & Kidney - Metabolism"
ENSG00000273047,ENSG00000273047,0.4433,-0.1849,1,"Liver & Kidney - Metabolism"
CYP3A7-CYP3A51P,ENSG00000282301,0.4693,-0.2201,1,"Liver & Kidney - Metabolism"
ZNF511-PRAP1,ENSG00000283496,0.4304,-0.1664,1,"Liver & Kidney - Metabolism"
MYH13,ENSG00000006788,0.0075,-0.3821,2,"Skeletal muscle - Striated muscle contraction"
SCN4A,ENSG00000007314,0.0056,-0.3832,2,"Skeletal muscle - Striated muscle contraction"
POLR3E,ENSG00000058600,0.0005,-0.3750,2,"Skeletal muscle - Striated muscle contraction"
YBX3,ENSG00000060138,0.0071,-0.3833,2,"Skeletal muscle - Striated muscle contraction"
HDAC4,ENSG00000068024,0.0206,-0.3436,2,"Skeletal muscle - Striated muscle contraction"
PYGM,ENSG00000068976,0.0265,-0.4058,2,"Skeletal muscle - Striated muscle contraction"
CLTCL1,ENSG00000070371,0.0135,-0.3818,2,"Skeletal muscle - Striated muscle contraction"
LMCD1,ENSG00000071282,0.0185,-0.3722,2,"Skeletal muscle - Striated muscle contraction"
RHOBTB1,ENSG00000072422,0.0013,-0.3719,2,"Skeletal muscle - Striated muscle contraction"
DUSP13,ENSG00000079393,0.0121,-0.3936,2,"Skeletal muscle - Striated muscle contraction"
MYBPC2,ENSG00000086967,0.0209,-0.4015,2,"Skeletal muscle - Striated muscle contraction"
AAMDC,ENSG00000087884,0.0227,-0.3707,2,"Skeletal muscle - Striated muscle contraction"
ALKBH5,ENSG00000091542,0.0111,-0.3568,2,"Skeletal muscle - Striated muscle contraction"
CAPN3,ENSG00000092529,0.0278,-0.3699,2,"Skeletal muscle - Striated muscle contraction"
ASB2,ENSG00000100628,0.0240,-0.3889,2,"Skeletal muscle - Striated muscle contraction"
MYLK2,ENSG00000101306,0.0076,-0.3870,2,"Skeletal muscle - Striated muscle contraction"
TNNC2,ENSG00000101470,0.0169,-0.4040,2,"Skeletal muscle - Striated muscle contraction"
ATP1B4,ENSG00000101892,0.0250,-0.4048,2,"Skeletal muscle - Striated muscle contraction"
ITIH6,ENSG00000102313,-0.0001,-0.3801,2,"Skeletal muscle - Striated muscle contraction"
KCNA7,ENSG00000104848,0.0165,-0.4015,2,"Skeletal muscle - Striated muscle contraction"
CKM,ENSG00000104879,0.0250,-0.4049,2,"Skeletal muscle - Striated muscle contraction"
TBC1D17,ENSG00000104946,0.0094,-0.3770,2,"Skeletal muscle - Striated muscle contraction"
RASA4,ENSG00000105808,0.0064,-0.3807,2,"Skeletal muscle - Striated muscle contraction"
ZFAND5,ENSG00000107372,0.0078,-0.3463,2,"Skeletal muscle - Striated muscle contraction"
FGF8,ENSG00000107831,0.0059,-0.3844,2,"Skeletal muscle - Striated muscle contraction"
PITX3,ENSG00000107859,0.0242,-0.3731,2,"Skeletal muscle - Striated muscle contraction"
CACNG1,ENSG00000108878,0.0247,-0.4035,2,"Skeletal muscle - Striated muscle contraction"
MYH1,ENSG00000109061,0.0055,-0.3833,2,"Skeletal muscle - Striated muscle contraction"
MYF6,ENSG00000111046,0.0313,-0.4027,2,"Skeletal muscle - Striated muscle contraction"
CLIC5,ENSG00000112782,0.0184,-0.3310,2,"Skeletal muscle - Striated muscle contraction"
FXR1,ENSG00000114416,0.0314,-0.3864,2,"Skeletal muscle - Striated muscle contraction"
PRKAG3,ENSG00000115592,0.0153,-0.3983,2,"Skeletal muscle - Striated muscle contraction"
STK25,ENSG00000115694,0.0140,-0.3755,2,"Skeletal muscle - Striated muscle contraction"
AMPD1,ENSG00000116748,0.0263,-0.4021,2,"Skeletal muscle - Striated muscle contraction"
NT5C1A,ENSG00000116981,0.0144,-0.3782,2,"Skeletal muscle - Striated muscle contraction"
CUTC,ENSG00000119929,0.0146,-0.3771,2,"Skeletal muscle - Striated muscle contraction"
PDLIM2,ENSG00000120913,0.0132,-0.3615,2,"Skeletal muscle - Striated muscle contraction"
MYOG,ENSG00000122180,0.0263,-0.4068,2,"Skeletal muscle - Striated muscle contraction"
OPTN,ENSG00000123240,0.0164,-0.3832,2,"Skeletal muscle - Striated muscle contraction"
MYH2,ENSG00000125414,0.0273,-0.4047,2,"Skeletal muscle - Striated muscle contraction"
RTN2,ENSG00000125744,0.0272,-0.3761,2,"Skeletal muscle - Striated muscle contraction"
MYOD1,ENSG00000129152,0.0073,-0.3860,2,"Skeletal muscle - Striated muscle contraction"
CHRNA10,ENSG00000129749,0.0040,-0.3823,2,"Skeletal muscle - Striated muscle contraction"
CACNG6,ENSG00000130433,0.0257,-0.4034,2,"Skeletal muscle - Striated muscle contraction"
UBAC1,ENSG00000130560,0.0246,-0.3716,2,"Skeletal muscle - Striated muscle contraction"
TNNT3,ENSG00000130595,0.0193,-0.4000,2,"Skeletal muscle - Striated muscle contraction"
TNNI2,ENSG00000130598,0.0205,-0.4020,2,"Skeletal muscle - Striated muscle contraction"
CEP85,ENSG00000130695,0.0270,-0.3712,2,"Skeletal muscle - Striated muscle contraction"
ADRM1,ENSG00000130706,0.0090,-0.3519,2,"Skeletal muscle - Striated muscle contraction"
MYBPH,ENSG00000133055,0.0118,-0.3880,2,"Skeletal muscle - Striated muscle contraction"
PPP1R1A,ENSG00000135447,0.0271,-0.3486,2,"Skeletal muscle - Striated muscle contraction"
CHRND,ENSG00000135902,0.0065,-0.3769,2,"Skeletal muscle - Striated muscle contraction"
TM6SF1,ENSG00000136404,0.0199,-0.3606,2,"Skeletal muscle - Striated muscle contraction"
BIN1,ENSG00000136717,0.0147,-0.3868,2,"Skeletal muscle - Striated muscle contraction"
ECPAS,ENSG00000136813,0.0146,-0.3803,2,"Skeletal muscle - Striated muscle contraction"
CDK5RAP2,ENSG00000136861,0.0146,-0.3057,2,"Skeletal muscle - Striated muscle contraction"
LBX1,ENSG00000138136,0.0115,-0.3814,2,"Skeletal muscle - Striated muscle contraction"
CHRNA1,ENSG00000138435,0.0090,-0.3877,2,"Skeletal muscle - Striated muscle contraction"
PELP1,ENSG00000141456,0.0184,-0.3470,2,"Skeletal muscle - Striated muscle contraction"
NFIC,ENSG00000141905,0.0054,-0.3548,2,"Skeletal muscle - Striated muscle contraction"
FEM1A,ENSG00000141965,0.0251,-0.4025,2,"Skeletal muscle - Striated muscle contraction"
SYPL2,ENSG00000143028,0.0313,-0.4018,2,"Skeletal muscle - Striated muscle contraction"
CASQ1,ENSG00000143318,0.0335,-0.4047,2,"Skeletal muscle - Striated muscle contraction"
ACTA1,ENSG00000143632,0.0039,-0.3848,2,"Skeletal muscle - Striated muscle contraction"
GADL1,ENSG00000144644,0.0317,-0.4000,2,"Skeletal muscle - Striated muscle contraction"
CAND2,ENSG00000144712,0.0203,-0.3654,2,"Skeletal muscle - Striated muscle contraction"
DDIT4L,ENSG00000145358,0.0217,-0.3949,2,"Skeletal muscle - Striated muscle contraction"
IDI2,ENSG00000148377,0.0068,-0.3847,2,"Skeletal muscle - Striated muscle contraction"
ALDOA,ENSG00000149925,0.0289,-0.4017,2,"Skeletal muscle - Striated muscle contraction"
