gene_name,ensembl_gene_id,x,y,cluster_no,location_name
LRRC17,ENSG00000128606,0.2709,-0.3611,40,"Astrocytes - Astrocyte-neuron interactions"
TMOD2,ENSG00000128872,0.6269,-0.2752,40,"Astrocytes - Astrocyte-neuron interactions"
NCAN,ENSG00000130287,0.6037,-0.4315,40,"Astrocytes - Astrocyte-neuron interactions"
MLLT1,ENSG00000130382,0.3521,-0.3907,40,"Astrocytes - Astrocyte-neuron interactions"
COL5A1,ENSG00000130635,0.0062,-0.6784,40,"Astrocytes - Astrocyte-neuron interactions"
SLC7A10,ENSG00000130876,0.1801,-0.3333,40,"Astrocytes - Astrocyte-neuron interactions"
ZNF428,ENSG00000131116,0.5731,-0.3329,40,"Astrocytes - Astrocyte-neuron interactions"
RFTN1,ENSG00000131378,0.6395,-0.3318,40,"Astrocytes - Astrocyte-neuron interactions"
RBSN,ENSG00000131381,0.5638,-0.3307,40,"Astrocytes - Astrocyte-neuron interactions"
TRAF7,ENSG00000131653,0.3527,-0.3912,40,"Astrocytes - Astrocyte-neuron interactions"
RARA,ENSG00000131759,0.5354,-0.3731,40,"Astrocytes - Astrocyte-neuron interactions"
RAI2,ENSG00000131831,0.5275,-0.2048,40,"Astrocytes - Astrocyte-neuron interactions"
LGALS3,ENSG00000131981,0.6069,-0.2746,40,"Astrocytes - Astrocyte-neuron interactions"
IQCA1,ENSG00000132321,0.2879,-0.3896,40,"Astrocytes - Astrocyte-neuron interactions"
CPLANE2,ENSG00000132881,0.2694,-0.4376,40,"Astrocytes - Astrocyte-neuron interactions"
WASF3,ENSG00000132970,0.2941,-0.3339,40,"Astrocytes - Astrocyte-neuron interactions"
CHRM3,ENSG00000133019,0.6733,-0.2086,40,"Astrocytes - Astrocyte-neuron interactions"
BMAL1,ENSG00000133794,0.6500,-0.2189,40,"Astrocytes - Astrocyte-neuron interactions"
NUMB,ENSG00000133961,0.5564,-0.3845,40,"Astrocytes - Astrocyte-neuron interactions"
BHLHE40,ENSG00000134107,0.6065,-0.2346,40,"Astrocytes - Astrocyte-neuron interactions"
EDEM1,ENSG00000134109,0.6256,-0.3563,40,"Astrocytes - Astrocyte-neuron interactions"
GSTM1,ENSG00000134184,0.4472,-0.3889,40,"Astrocytes - Astrocyte-neuron interactions"
TRIM45,ENSG00000134253,0.5901,-0.3001,40,"Astrocytes - Astrocyte-neuron interactions"
CRB1,ENSG00000134376,0.6358,0.3092,40,"Astrocytes - Astrocyte-neuron interactions"
CABLES1,ENSG00000134508,0.2392,-0.3333,40,"Astrocytes - Astrocyte-neuron interactions"
SOX5,ENSG00000134532,0.5838,-0.2568,40,"Astrocytes - Astrocyte-neuron interactions"
PIWIL4,ENSG00000134627,0.6860,-0.0296,40,"Astrocytes - Astrocyte-neuron interactions"
CLDN10,ENSG00000134873,0.6464,-0.2923,40,"Astrocytes - Astrocyte-neuron interactions"
DTX1,ENSG00000135144,0.2302,-0.4937,40,"Astrocytes - Astrocyte-neuron interactions"
TROAP,ENSG00000135451,0.6435,-0.2296,40,"Astrocytes - Astrocyte-neuron interactions"
REPS1,ENSG00000135597,0.3683,-0.3103,40,"Astrocytes - Astrocyte-neuron interactions"
KLHL36,ENSG00000135686,0.3404,-0.3928,40,"Astrocytes - Astrocyte-neuron interactions"
TTYH3,ENSG00000136295,0.5555,-0.3422,40,"Astrocytes - Astrocyte-neuron interactions"
HS6ST1,ENSG00000136720,0.5572,-0.2163,40,"Astrocytes - Astrocyte-neuron interactions"
ST6GALNAC4,ENSG00000136840,0.3211,-0.3966,40,"Astrocytes - Astrocyte-neuron interactions"
GABBR2,ENSG00000136928,0.6041,-0.2183,40,"Astrocytes - Astrocyte-neuron interactions"
IL33,ENSG00000137033,0.5158,-0.4274,40,"Astrocytes - Astrocyte-neuron interactions"
CMTR1,ENSG00000137200,0.2310,-0.3358,40,"Astrocytes - Astrocyte-neuron interactions"
RNF121,ENSG00000137522,0.1893,-0.3694,40,"Astrocytes - Astrocyte-neuron interactions"
CPNE8,ENSG00000139117,0.6189,-0.3920,40,"Astrocytes - Astrocyte-neuron interactions"
PRICKLE1,ENSG00000139174,0.6262,-0.2302,40,"Astrocytes - Astrocyte-neuron interactions"
ASCL1,ENSG00000139352,0.5987,-0.2801,40,"Astrocytes - Astrocyte-neuron interactions"
NABP2,ENSG00000139579,0.6096,-0.3087,40,"Astrocytes - Astrocyte-neuron interactions"
SMARCC2,ENSG00000139613,0.5730,-0.2925,40,"Astrocytes - Astrocyte-neuron interactions"
CDH24,ENSG00000139880,0.2499,-0.3323,40,"Astrocytes - Astrocyte-neuron interactions"
DCAF5,ENSG00000139990,0.3047,-0.4689,40,"Astrocytes - Astrocyte-neuron interactions"
STON2,ENSG00000140022,0.2815,-0.3772,40,"Astrocytes - Astrocyte-neuron interactions"
HMG20A,ENSG00000140382,0.6582,0.0080,40,"Astrocytes - Astrocyte-neuron interactions"
NCOA2,ENSG00000140396,0.3755,-0.4197,40,"Astrocytes - Astrocyte-neuron interactions"
TPM1,ENSG00000140416,0.3780,-0.4081,40,"Astrocytes - Astrocyte-neuron interactions"
RHCG,ENSG00000140519,0.6250,-0.3096,40,"Astrocytes - Astrocyte-neuron interactions"
MED9,ENSG00000141026,0.5912,-0.3163,40,"Astrocytes - Astrocyte-neuron interactions"
SLC13A5,ENSG00000141485,0.2606,-0.3193,40,"Astrocytes - Astrocyte-neuron interactions"
RNF165,ENSG00000141622,0.5852,-0.3539,40,"Astrocytes - Astrocyte-neuron interactions"
TNFRSF11A,ENSG00000141655,0.6349,-0.2690,40,"Astrocytes - Astrocyte-neuron interactions"
PTPRF,ENSG00000142949,0.5624,-0.3571,40,"Astrocytes - Astrocyte-neuron interactions"
PLEKHA6,ENSG00000143850,0.2809,-0.2805,40,"Astrocytes - Astrocyte-neuron interactions"
SFXN5,ENSG00000144040,0.2678,-0.2937,40,"Astrocytes - Astrocyte-neuron interactions"
PTH2R,ENSG00000144407,0.6182,-0.3403,40,"Astrocytes - Astrocyte-neuron interactions"
ABCA12,ENSG00000144452,0.5914,-0.2974,40,"Astrocytes - Astrocyte-neuron interactions"
CTDSPL,ENSG00000144677,0.3430,-0.3515,40,"Astrocytes - Astrocyte-neuron interactions"
ALDH1L1,ENSG00000144908,0.3964,-0.3559,40,"Astrocytes - Astrocyte-neuron interactions"
PDGFC,ENSG00000145431,0.6428,-0.4138,40,"Astrocytes - Astrocyte-neuron interactions"
FBXL17,ENSG00000145743,0.4980,-0.3182,40,"Astrocytes - Astrocyte-neuron interactions"
FAM193B,ENSG00000146067,0.3435,-0.3662,40,"Astrocytes - Astrocyte-neuron interactions"
RNF44,ENSG00000146083,0.6312,-0.2442,40,"Astrocytes - Astrocyte-neuron interactions"
C7orf50,ENSG00000146540,0.6077,-0.3704,40,"Astrocytes - Astrocyte-neuron interactions"
MEPCE,ENSG00000146834,0.3686,-0.3142,40,"Astrocytes - Astrocyte-neuron interactions"
CHST7,ENSG00000147119,0.2406,-0.3513,40,"Astrocytes - Astrocyte-neuron interactions"
MAL2,ENSG00000147676,0.6376,-0.0331,40,"Astrocytes - Astrocyte-neuron interactions"
NAPRT,ENSG00000147813,0.4705,-0.4330,40,"Astrocytes - Astrocyte-neuron interactions"
NTRK2,ENSG00000148053,0.2736,-0.3616,40,"Astrocytes - Astrocyte-neuron interactions"
RGR,ENSG00000148604,0.2629,-0.3629,40,"Astrocytes - Astrocyte-neuron interactions"
COMMD7,ENSG00000149600,0.5981,-0.3153,40,"Astrocytes - Astrocyte-neuron interactions"
CNTN5,ENSG00000149972,0.6033,-0.2595,40,"Astrocytes - Astrocyte-neuron interactions"
ARID5B,ENSG00000150347,0.6466,-0.2141,40,"Astrocytes - Astrocyte-neuron interactions"
GPM6A,ENSG00000150625,0.6248,-0.3561,40,"Astrocytes - Astrocyte-neuron interactions"
DCP1B,ENSG00000151065,0.0771,-0.7187,40,"Astrocytes - Astrocyte-neuron interactions"
CACNA1C,ENSG00000151067,0.6193,-0.2411,40,"Astrocytes - Astrocyte-neuron interactions"
FHIP2A,ENSG00000151553,0.3994,-0.4196,40,"Astrocytes - Astrocyte-neuron interactions"
ZSCAN1,ENSG00000152467,0.2352,-0.4786,40,"Astrocytes - Astrocyte-neuron interactions"
SYCP2L,ENSG00000153157,0.6728,-0.0272,40,"Astrocytes - Astrocyte-neuron interactions"
LPCAT1,ENSG00000153395,0.3360,-0.4313,40,"Astrocytes - Astrocyte-neuron interactions"
C16orf89,ENSG00000153446,0.4135,-0.4008,40,"Astrocytes - Astrocyte-neuron interactions"
DDAH1,ENSG00000153904,0.2699,-0.3455,40,"Astrocytes - Astrocyte-neuron interactions"
HS2ST1,ENSG00000153936,0.4147,-0.3992,40,"Astrocytes - Astrocyte-neuron interactions"
ROBO3,ENSG00000154134,0.6387,-0.2298,40,"Astrocytes - Astrocyte-neuron interactions"
CEP112,ENSG00000154240,0.3458,-0.4105,40,"Astrocytes - Astrocyte-neuron interactions"
LONRF1,ENSG00000154359,0.5660,-0.3219,40,"Astrocytes - Astrocyte-neuron interactions"
CCSAP,ENSG00000154429,0.6754,0.0469,40,"Astrocytes - Astrocyte-neuron interactions"
APCDD1,ENSG00000154856,0.3569,-0.3364,40,"Astrocytes - Astrocyte-neuron interactions"
GOLGA7B,ENSG00000155265,0.3472,-0.3605,40,"Astrocytes - Astrocyte-neuron interactions"
TTN,ENSG00000155657,0.6450,-0.3198,40,"Astrocytes - Astrocyte-neuron interactions"
FMN2,ENSG00000155816,0.5718,-0.2639,40,"Astrocytes - Astrocyte-neuron interactions"
PXYLP1,ENSG00000155893,0.6274,-0.3147,40,"Astrocytes - Astrocyte-neuron interactions"
WIF1,ENSG00000156076,0.6344,-0.3828,40,"Astrocytes - Astrocyte-neuron interactions"
KCNMA1,ENSG00000156113,0.6782,-0.2492,40,"Astrocytes - Astrocyte-neuron interactions"
ZNF689,ENSG00000156853,0.6407,-0.1568,40,"Astrocytes - Astrocyte-neuron interactions"
SLC6A1,ENSG00000157103,0.2520,-0.3055,40,"Astrocytes - Astrocyte-neuron interactions"
CACNA1D,ENSG00000157388,0.5798,-0.2287,40,"Astrocytes - Astrocyte-neuron interactions"
SPATA2,ENSG00000158480,0.6018,-0.3081,40,"Astrocytes - Astrocyte-neuron interactions"
CCDC28B,ENSG00000160050,0.3594,-0.3731,40,"Astrocytes - Astrocyte-neuron interactions"
ZNF362,ENSG00000160094,0.5792,-0.2898,40,"Astrocytes - Astrocyte-neuron interactions"
KALRN,ENSG00000160145,0.6394,-0.2306,40,"Astrocytes - Astrocyte-neuron interactions"
SLC37A1,ENSG00000160190,0.3248,-0.4468,40,"Astrocytes - Astrocyte-neuron interactions"
PDXK,ENSG00000160209,0.2708,-0.2835,40,"Astrocytes - Astrocyte-neuron interactions"
TLCD1,ENSG00000160606,0.2773,-0.3507,40,"Astrocytes - Astrocyte-neuron interactions"
UBQLN4,ENSG00000160803,0.6243,-0.3077,40,"Astrocytes - Astrocyte-neuron interactions"
PPP1R16A,ENSG00000160972,0.3816,-0.4090,40,"Astrocytes - Astrocyte-neuron interactions"
SENP3,ENSG00000161956,0.2902,-0.2938,40,"Astrocytes - Astrocyte-neuron interactions"
NTN3,ENSG00000162068,0.0143,-0.4548,40,"Astrocytes - Astrocyte-neuron interactions"
ASRGL1,ENSG00000162174,0.2066,-0.3219,40,"Astrocytes - Astrocyte-neuron interactions"
RAVER2,ENSG00000162437,0.3329,-0.4018,40,"Astrocytes - Astrocyte-neuron interactions"
SLC16A14,ENSG00000163053,0.2414,-0.3384,40,"Astrocytes - Astrocyte-neuron interactions"
DHX57,ENSG00000163214,0.2988,-0.3687,40,"Astrocytes - Astrocyte-neuron interactions"
INAVA,ENSG00000163362,0.2806,-0.3701,40,"Astrocytes - Astrocyte-neuron interactions"
SLC15A2,ENSG00000163406,0.4377,-0.3488,40,"Astrocytes - Astrocyte-neuron interactions"
C4orf36,ENSG00000163633,0.5723,-0.2999,40,"Astrocytes - Astrocyte-neuron interactions"
RANBP3L,ENSG00000164188,0.5793,-0.3239,40,"Astrocytes - Astrocyte-neuron interactions"
MICALL2,ENSG00000164877,0.2717,-0.3369,40,"Astrocytes - Astrocyte-neuron interactions"
MYORG,ENSG00000164976,0.2513,-0.3208,40,"Astrocytes - Astrocyte-neuron interactions"
STOX1,ENSG00000165730,0.2866,-0.3586,40,"Astrocytes - Astrocyte-neuron interactions"
CKB,ENSG00000166165,0.5998,-0.3103,40,"Astrocytes - Astrocyte-neuron interactions"
DCHS1,ENSG00000166341,0.2721,-0.4691,40,"Astrocytes - Astrocyte-neuron interactions"
A2ML1,ENSG00000166535,0.2534,-0.3432,40,"Astrocytes - Astrocyte-neuron interactions"
ATP23,ENSG00000166896,0.3834,-0.3928,40,"Astrocytes - Astrocyte-neuron interactions"
PIP4K2C,ENSG00000166908,0.6257,-0.1875,40,"Astrocytes - Astrocyte-neuron interactions"
STIM1,ENSG00000167323,0.4873,-0.5067,40,"Astrocytes - Astrocyte-neuron interactions"
KLHL26,ENSG00000167487,0.6092,-0.3613,40,"Astrocytes - Astrocyte-neuron interactions"
PSCA,ENSG00000167653,0.6746,-0.2216,40,"Astrocytes - Astrocyte-neuron interactions"
VWCE,ENSG00000167992,-0.1546,-0.7446,40,"Astrocytes - Astrocyte-neuron interactions"
FAM107A,ENSG00000168309,0.6358,-0.3694,40,"Astrocytes - Astrocyte-neuron interactions"
AXIN2,ENSG00000168646,0.3135,-0.3733,40,"Astrocytes - Astrocyte-neuron interactions"
LRP1B,ENSG00000168702,0.6183,-0.3199,40,"Astrocytes - Astrocyte-neuron interactions"
PKIG,ENSG00000168734,0.6108,-0.3675,40,"Astrocytes - Astrocyte-neuron interactions"
PTPN9,ENSG00000169410,0.6151,-0.3376,40,"Astrocytes - Astrocyte-neuron interactions"
CT55,ENSG00000169551,0.6246,-0.2363,40,"Astrocytes - Astrocyte-neuron interactions"
FRMPD4,ENSG00000169933,0.6150,-0.2426,40,"Astrocytes - Astrocyte-neuron interactions"
SMAD1,ENSG00000170365,0.3324,-0.3925,40,"Astrocytes - Astrocyte-neuron interactions"
EMX2,ENSG00000170370,0.6469,-0.2691,40,"Astrocytes - Astrocyte-neuron interactions"
ADORA2B,ENSG00000170425,0.6137,-0.2649,40,"Astrocytes - Astrocyte-neuron interactions"
COX7B2,ENSG00000170516,0.6252,-0.2640,40,"Astrocytes - Astrocyte-neuron interactions"
CDH2,ENSG00000170558,0.2822,-0.3355,40,"Astrocytes - Astrocyte-neuron interactions"
RASA4B,ENSG00000170667,0.2506,-0.4332,40,"Astrocytes - Astrocyte-neuron interactions"
PDE7B,ENSG00000171408,0.2631,-0.4039,40,"Astrocytes - Astrocyte-neuron interactions"
PAH,ENSG00000171759,0.6052,-0.2646,40,"Astrocytes - Astrocyte-neuron interactions"
RHNO1,ENSG00000171792,0.2783,-0.3558,40,"Astrocytes - Astrocyte-neuron interactions"
MYOZ2,ENSG00000172399,0.5988,-0.2795,40,"Astrocytes - Astrocyte-neuron interactions"
FUT9,ENSG00000172461,0.2681,-0.3473,40,"Astrocytes - Astrocyte-neuron interactions"
FUT10,ENSG00000172728,0.2646,-0.3534,40,"Astrocytes - Astrocyte-neuron interactions"
COL6A5,ENSG00000172752,0.2325,-0.3493,40,"Astrocytes - Astrocyte-neuron interactions"
ZBTB21,ENSG00000173276,0.5872,-0.3429,40,"Astrocytes - Astrocyte-neuron interactions"
TRIB1,ENSG00000173334,0.3467,-0.3862,40,"Astrocytes - Astrocyte-neuron interactions"
SNX31,ENSG00000174226,0.6769,-0.0848,40,"Astrocytes - Astrocyte-neuron interactions"
REP15,ENSG00000174236,0.6561,-0.2239,40,"Astrocytes - Astrocyte-neuron interactions"
BBS1,ENSG00000174483,0.2832,-0.3726,40,"Astrocytes - Astrocyte-neuron interactions"
CADM2,ENSG00000175161,0.6079,-0.2866,40,"Astrocytes - Astrocyte-neuron interactions"
NR2F1,ENSG00000175745,0.5736,-0.3124,40,"Astrocytes - Astrocyte-neuron interactions"
ACBD7,ENSG00000176244,0.2488,-0.3323,40,"Astrocytes - Astrocyte-neuron interactions"
GJC3,ENSG00000176402,0.4864,-0.3331,40,"Astrocytes - Astrocyte-neuron interactions"
